"Action","Animation","ScienceFiction","Horror","Fantasy","Family","Adventure","Comedy","Crime","Romance","Drama","Thriller","War","Western","Mystery","Music","Documentary","History","TVMovie","title","year","rating","budget","revenue","runtime"
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Thor",2011,68,1.5e+08,449326618,115
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"One Shot",2021,68,0,0,97
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"The Conjuring: The Devil Made Me Do It",2021,76,3.9e+07,2.01e+08,111
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Avengers: Endgame",2019,83,3.56e+08,2797800564,181
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Snake Eyes: G.I. Joe Origins",2021,67,8.8e+07,36964325,121
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"The Tomorrow War",2021,80,2e+08,0,138
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Infinite",2021,67,0,0,106
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Harry Potter and the Philosopher's Stone",2001,79,1.25e+08,976475550,152
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"Finch",2021,81,2500000,0,115
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Space Jam: A New Legacy",2021,70,161900000,162892228,115
1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"The Maze Runner",2014,72,3.4e+07,348319861,113
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Raya and the Last Dragon",2021,80,1e+08,1.3e+08,107
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"The Last: Naruto the Movie",2014,78,1e+06,16500000,114
0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"The Addams Family 2",2021,71,0,119815153,93
0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,"The Wolf of Wall Street",2013,80,1e+08,3.92e+08,180
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"Paranormal Activity: Next of Kin",2021,65,0,0,98
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"My Hero Academia: Heroes Rising",2019,83,0,29900850,104
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The Unholy",2021,68,1e+07,30763855,99
0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Miraculous World: Shanghai â The Legend of Ladydragon",2021,79,0,0,52
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The Deep House",2021,64,0,0,85
0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"The Croods: A New Age",2020,76,6.5e+07,168285000,95
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Deadpool",2016,76,5.8e+07,783100000,108
