"","x"
"1","Spencer       (2021)+71.0+Drama+StatusReleasedOriginalLanguageEnglishBudget$18,000,000.00Revenue$14,000,000.00+1h 57m"
"2","The Lodge       (2020)+61.0+Drama, Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue$2,679,585.00+1h 48m"
"3","The Bourne Ultimatum       (2007)+74.0+Action, Drama, Mystery, Thriller+StatusReleasedOriginalLanguageEnglishBudget$70,000,000.00Revenue$442,824,138.00+1h 55m"
"4","Charlie's Angels: Full Throttle       (2003)+54.0+Action, Adventure, Comedy+StatusReleasedOriginalLanguageEnglishBudget$120,000,000.00Revenue$259,175,788.00+1h 46m"
"5","Mia and the White Lion       (2018)+73.0+Adventure, Family, Drama+OriginalTitleMiaetlelionblancStatusReleasedOriginalLanguageFrenchBudget$9,600,000.00Revenue$35,487,190.00+1h 38m"
"6","A Monster in Paris       (2011)+68.0+Adventure, Animation, Comedy, Family, Fantasy+OriginalTitleUnmonstreàParisStatusReleasedOriginalLanguageFrenchBudget$25,000,000.00Revenue$26,611,650.00+1h 30m"
"7","La La Land       (2016)+79.0+Comedy, Drama, Romance, Music+StatusReleasedOriginalLanguageEnglishBudget$30,000,000.00Revenue$447,407,695.00+2h 9m"
"8","Braven       (2018)+62.0+Drama, Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$5,000,000.00Revenue$854,319.00+1h 34m"
"9","Drive My Car       (2021)+75.0+Drama+OriginalTitleドライブ・マイ・カーStatusReleasedOriginalLanguageJapaneseBudget-Revenue-+2h 59m"
"10","Birdman or (The Unexpected Virtue of Ignorance)       (2014)+75.0+Drama, Comedy+StatusReleasedOriginalLanguageEnglishBudget$18,000,000.00Revenue$103,215,094.00+2h"
"11","The Human Centipede 3 (Final Sequence)       (2015)+37.0+Horror+StatusReleasedOriginalLanguageEnglishBudget-Revenue$16,184.00+1h 43m"
"12","Tall Girl       (2019)+64.0+Comedy, Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 41m"
"13","Clueless       (1995)+73.0+Comedy, Romance+StatusReleasedOriginalLanguageEnglishBudget$12,000,000.00Revenue$56,631,572.00+1h 37m"
"14","Interview with the Vampire       (1994)+74.0+Horror, Drama, Fantasy+StatusReleasedOriginalLanguageEnglishBudget$60,000,000.00Revenue$223,664,608.00+2h 3m"
"15","The Grand Budapest Hotel       (2014)+81.0+Comedy, Drama+StatusReleasedOriginalLanguageEnglishBudget$30,000,000.00Revenue$174,600,318.00+1h 40m"
"16","Die Hard       (1988)+77.0+Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$28,000,000.00Revenue$140,767,956.00+2h 11m"
"17","Planet 51       (2009)+58.0+Family, Comedy, Science Fiction, Adventure, Animation+StatusReleasedOriginalLanguageEnglishBudget$70,000,000.00Revenue$104,945,765.00+1h 31m"
