"","x"
"40","The Princess Switch 3: Romancing the Star       (2021)+69.0+Romance, Comedy+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 46m"
"41","El Camino: A Breaking Bad Movie       (2019)+69.0+Crime, Drama, Thriller, Action+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+2h 3m"
"42","Elysium       (2013)+65.0+Science Fiction, Action, Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget$115,000,000.00Revenue$286,140,700.00+1h 49m"
"43","Schindler's List       (1993)+86.0+Drama, History, War+StatusReleasedOriginalLanguageEnglishBudget$22,000,000.00Revenue$321,365,567.00+3h 15m"
"44","Annihilation       (2018)+64.0+Science Fiction, Horror+StatusReleasedOriginalLanguageEnglishBudget$40,000,000.00Revenue$43,070,915.00+1h 55m"
"45","Mama       (2013)+62.0+Horror+StatusReleasedOriginalLanguageEnglishBudget$15,000,000.00Revenue$146,497,771.00+1h 40m"
"46","One Day       (2011)+74.0+Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget$15,000,000.00Revenue$59,389,433.00+1h 47m"
"47","Taxi       (2004)+55.0+Action, Comedy, Thriller, Crime+StatusReleasedOriginalLanguageEnglishBudget$25,000,000.00Revenue$71,255,003.00+1h 37m"
"48","Don't Listen       (2020)+65.0+Drama, Horror, Thriller+OriginalTitleVocesStatusReleasedOriginalLanguageSpanish;CastilianBudget-Revenue$443,458.00+1h 38m"
"49","Aliens       (1986)+79.0+Action, Thriller, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$18,500,000.00Revenue$183,316,455.00+2h 17m"
"50","Indiana Jones and the Last Crusade       (1989)+78.0+Adventure, Action+StatusReleasedOriginalLanguageEnglishBudget$48,000,000.00Revenue$474,171,806.00+2h 7m"
"51","Cadaver       (2020)+56.0+Drama, Horror, Thriller+OriginalTitleKadaverStatusReleasedOriginalLanguageNorwegianBudget-Revenue-+1h 26m"
"52","The Prince of Egypt       (1998)+72.0+Adventure, Animation, Drama, Family+StatusReleasedOriginalLanguageEnglishBudget$70,000,000.00Revenue$218,613,188.00+1h 39m"
"53","Palmer       (2021)+80.0+Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 50m"
"54","Goosebumps       (2015)+63.0+Adventure, Horror, Comedy+StatusReleasedOriginalLanguageEnglishBudget$58,000,000.00Revenue$158,162,788.00+1h 43m"
"55","I Can Only Imagine       (2018)+75.0+Music, Drama+StatusReleasedOriginalLanguageEnglishBudget$7,000,000.00Revenue$86,026,201.00+1h 50m"
"56","The Lorax       (2012)+65.0+Animation, Family+StatusReleasedOriginalLanguageEnglishBudget$70,000,000.00Revenue$348,840,316.00+1h 26m"
"57","Ghost       (1990)+72.0+Fantasy, Drama, Thriller, Mystery, Romance+StatusReleasedOriginalLanguageEnglishBudget$22,000,000.00Revenue$505,000,000.00+2h 7m"
"58","Sweeney Todd: The Demon Barber of Fleet Street       (2007)+72.0+Drama, Horror+StatusReleasedOriginalLanguageEnglishBudget$50,000,000.00Revenue$152,000,000.00+1h 56m"
"59","The Huntsman: Winter's War       (2016)+63.0+Action, Adventure, Drama+StatusReleasedOriginalLanguageEnglishBudget$115,000,000.00Revenue$164,989,338.00+1h 54m"
"60","Chinese Zodiac       (2012)+61.0+Action, Adventure+OriginalTitle十二生肖StatusReleasedOriginalLanguageCantoneseBudget$48,000,000.00Revenue$171,339,013.00+1h 49m"
"61","Blackhat       (2015)+55.0+Crime, Thriller, Action+StatusReleasedOriginalLanguageEnglishBudget$70,000,000.00Revenue$17,752,940.00+2h 13m"
"62","Tod@s Caen       (2019)+77.0+Comedy+StatusReleasedOriginalLanguageSpanish;CastilianBudget-Revenue-+2h"
