"","x"
"1","Freaks Out       (2021)+74.0+Adventure, Action, Science Fiction+StatusReleasedOriginalLanguageItalianBudget$12,000,000.00Revenue-+2h 21m"
"2","The General's Daughter       (1999)+64.0+Thriller, Mystery, Drama, Crime+StatusReleasedOriginalLanguageEnglishBudget$60,000,000.00Revenue$149,705,852.00+1h 56m"
"3","Sing Street       (2016)+79.0+Comedy, Romance, Drama, Music+StatusReleasedOriginalLanguageEnglishBudget$4,000,000.00Revenue$13,624,522.00+1h 46m"
"4","John Tucker Must Die       (2006)+62.0+Comedy, Romance+StatusReleasedOriginalLanguageEnglishBudget$18,000,000.00Revenue$68,844,775.00+1h 27m"
"5","Terminal       (2018)+55.0+Crime, Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue$843,970.00+1h 35m"
"6","Mank       (2020)+68.0+Drama, History+StatusReleasedOriginalLanguageEnglishBudget$25,000,000.00Revenue$122,252.00+2h 12m"
"7","While We're Young       (2015)+59.0+Comedy, Drama, Mystery+StatusReleasedOriginalLanguageEnglishBudget$10,000,000.00Revenue$17,287,309.00+1h 37m"
"8","Three Colors: Red       (1994)+80.0+Drama, Mystery, Romance+OriginalTitleTroiscouleurs:RougeStatusReleasedOriginalLanguageFrenchBudget-Revenue-+1h 40m"
"9","A Fantastic Woman       (2017)+71.0+Drama+OriginalTitleUnamujerfantásticaStatusReleasedOriginalLanguageSpanish;CastilianBudget-Revenue$1,880,736.00+1h 44m"
"10","Out Of My League       (2020)+70.0+Romance, Comedy+OriginalTitleSulpiùbelloStatusReleasedOriginalLanguageItalianBudget-Revenue-+1h 30m"
"11","The Guns of Navarone       (1961)+73.0+War, Action+StatusReleasedOriginalLanguageEnglishBudget$6,000,000.00Revenue$28,900,000.00+2h 38m"
"12","The International       (2009)+62.0+Action, Thriller, Drama, Crime+StatusReleasedOriginalLanguageEnglishBudget$50,000,000.00Revenue$60,161,391.00+1h 58m"
"13","The Devil's Rejects       (2005)+68.0+Drama, Horror, Crime+StatusReleasedOriginalLanguageEnglishBudget$7,000,000.00Revenue$20,901,859.00+1h 47m"
"14","Boys Don't Cry       (1999)+75.0+Crime, Drama+StatusReleasedOriginalLanguageEnglishBudget$2,000,000.00Revenue$11,540,607.00+1h 58m"
"15","Where'd You Go, Bernadette       (2019)+67.0+Drama, Comedy+StatusReleasedOriginalLanguageEnglishBudget$20,000,000.00Revenue-+1h 49m"
"16","Galaxy Quest       (1999)+71.0+Comedy, Family, Science Fiction, Adventure+StatusReleasedOriginalLanguageEnglishBudget$45,000,000.00Revenue$90,683,916.00+1h 41m"
"17","The Brand New Adventures of Aladin       (2018)+49.0+Comedy+OriginalTitleAlad'2StatusReleasedOriginalLanguageFrenchBudget$18,900,000.00Revenue$25,498,160.00+1h 38m"
"18","The White Tiger       (2021)+70.0+Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+2h 5m"
"19","K-PAX       (2001)+72.0+Science Fiction, Drama+StatusReleasedOriginalLanguageEnglishBudget$48,000,000.00Revenue$50,315,140.00+2h"
"20","Drillbit Taylor       (2008)+57.0+Comedy+StatusReleasedOriginalLanguageEnglishBudget$40,000,000.00Revenue$32,853,640.00+1h 42m"
"21","Hell Fest       (2018)+56.0+Horror+StatusReleasedOriginalLanguageEnglishBudget$5,500,000.00Revenue-+1h 29m"
"22","A Conspiracy of Faith       (2016)+70.0+Crime, Drama, Mystery, Thriller+OriginalTitleFlaskepostfraPStatusReleasedOriginalLanguageDanishBudget$5,210,000.00Revenue$5,900,000.00+1h 48m"
"23","Sleeping with the Enemy       (1991)+64.0+Drama, Crime, Thriller+StatusReleasedOriginalLanguageEnglishBudget$19,000,000.00Revenue$174,999,005.00+1h 39m"
