"","x"
"1","Come to Daddy       (2019)+60.0+Comedy, Thriller, Horror+StatusReleasedOriginalLanguageEnglishBudget-Revenue$57,998.00+1h 36m"
"2","The Boys in the Band       (2020)+69.0+Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+2h 1m"
"3","Central Station       (1998)+82.0+Drama+OriginalTitleCentraldoBrasilStatusReleasedOriginalLanguagePortugueseBudget$2,900,000.00Revenue$5,596,708.00+1h 50m"
"4","Someone, Somewhere       (2019)+64.0+Drama, Romance, Comedy+OriginalTitleDeuxmoiStatusReleasedOriginalLanguageFrenchBudget-Revenue-+1h 50m"
"5","Juliet, Naked       (2018)+63.0+Comedy, Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 37m"
"6","Diabolik       (2021)+62.0+Crime, Action+StatusReleasedOriginalLanguageItalianBudget$11,000,000.00Revenue$3,189,418.00+2h 13m"
"7","Santa Sangre       (1989)+71.0+Horror, Mystery, Drama+StatusReleasedOriginalLanguageEnglishBudget$787,000.00Revenue-+2h 3m"
"8","Kindergarten Cop       (1990)+61.0+Comedy+StatusReleasedOriginalLanguageEnglishBudget$15,000,000.00Revenue$201,957,688.00+1h 51m"
"9","The Big Chill       (1983)+69.0+Comedy, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 45m"
"10","The Lady Vanishes       (1938)+75.0+Mystery, Thriller, Comedy+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 36m"
"11","Welcome to Marwen       (2018)+66.0+Drama, Comedy, Fantasy+StatusReleasedOriginalLanguageEnglishBudget$39,000,000.00Revenue$12,780,692.00+1h 56m"
"12","Tell No One       (2006)+73.0+Drama, Thriller, Crime, Mystery+OriginalTitleNeledisàpersonneStatusReleasedOriginalLanguageFrenchBudget$11,700,000.00Revenue-+2h 11m"
"13","Last Knights       (2015)+65.0+Action, Adventure+StatusReleasedOriginalLanguageEnglishBudget$40,000,000.00Revenue$3,643,591.00+1h 55m"
"14","Who Would You Take to a Deserted Island?       (2019)+50.0+Comedy, Drama+OriginalTitle¿Aquiéntellevaríasaunaisladesierta?StatusReleasedOriginalLanguageSpanish;CastilianBudget-Revenue-+1h 30m"
"15","Bad Education       (2004)+74.0+Crime, Drama+OriginalTitleLamalaeducaciónStatusReleasedOriginalLanguageSpanish;CastilianBudget$5,000,000.00Revenue$40,266,982.00+1h 46m"
"16","Cuties       (2020)+53.0+Drama+OriginalTitleMignonnesStatusReleasedOriginalLanguageFrenchBudget-Revenue-+1h 36m"
"17","Nightbreed       (1990)+64.0+Action, Fantasy, Horror+StatusReleasedOriginalLanguageEnglishBudget$11,000,000.00Revenue$8,862,354.00+1h 42m"
"18","Otherhood       (2019)+62.0+Comedy+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 40m"
"19","Son of Saul       (2015)+71.0+War, Drama, Thriller+OriginalTitleSaulfiaStatusReleasedOriginalLanguageHungarianBudget$1,000,000.00Revenue$1,777,043.00+1h 47m"
"20","The Miser       (1980)+63.0+Comedy+OriginalTitleL'AvareStatusReleasedOriginalLanguageFrenchBudget-Revenue-+2h 5m"
"21","The Immigrant       (2013)+63.0+Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget$16,000,000.00Revenue$5,867,686.00+1h 57m"
"22","Monsieur Hulot's Holiday       (1953)+71.0+Comedy+OriginalTitleLesvacancesdeMonsieurHulotStatusReleasedOriginalLanguageFrenchBudget-Revenue-+1h 27m"
"23","Pusher II       (2004)+72.0+Crime, Drama, Thriller+StatusReleasedOriginalLanguageDanishBudget-Revenue-+1h 40m"
"24","The Secret: Dare to Dream       (2020)+73.0+Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget$21,000,000.00Revenue-+1h 47m"
"25","Nights of Cabiria       (1957)+81.0+Drama+OriginalTitleLenottidiCabiriaStatusReleasedOriginalLanguageItalianBudget-Revenue$752,045.00+1h 50m"
"26","Wine Country       (2019)+55.0+Comedy+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 43m"
"27","Girlhood       (2014)+65.0+Drama+OriginalTitleBandedefillesStatusReleasedOriginalLanguageFrenchBudget-Revenue$60,765.00+1h 52m"
"28","The Blackcoat's Daughter       (2017)+57.0+Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue$19,980.00+1h 33m"
"29","Opera       (1987)+67.0+Thriller, Horror, Mystery+StatusReleasedOriginalLanguageItalianBudget$8,000,000.00Revenue-+1h 47m"
"30","Holy Man       (1998)+52.0+Drama, Comedy+StatusReleasedOriginalLanguageEnglishBudget$60,000,000.00Revenue$12,069,719.00+1h 54m"
"31","The Ruthless       (2019)+62.0+Crime, Drama+OriginalTitleLospietatoStatusReleasedOriginalLanguageItalianBudget-Revenue-+1h 51m"
"32","Breaking the Waves       (1996)+75.0+Drama, Romance+StatusReleasedOriginalLanguageDanishBudget-Revenue$3,803,298.00+2h 39m"
"33","Lagaan: Once Upon a Time in India       (2001)+73.0+Adventure, Romance, Drama+OriginalTitleलगानStatusReleasedOriginalLanguageHindiBudget$5,200,000.00Revenue$8,100,000.00+3h 44m"
