"","x"
"1","Holmes & Watson       (2018)+43.0+Mystery, Adventure, Comedy, Crime+StatusReleasedOriginalLanguageEnglishBudget$42,000,000.00Revenue$40,462,793.00+1h 30m"
"2","Double Lover       (2017)+61.0+Romance, Thriller, Drama+OriginalTitleL'AmantdoubleStatusReleasedOriginalLanguageFrenchBudget$7,110,000.00Revenue$4,248,574.00+1h 48m"
"3","When in Rome       (2010)+60.0+Comedy, Fantasy, Romance+StatusReleasedOriginalLanguageEnglishBudget$55,000,000.00Revenue$43,042,835.00+1h 31m"
"4","You, Me and Dupree       (2006)+56.0+Comedy, Romance+StatusReleasedOriginalLanguageEnglishBudget$54,000,000.00Revenue$130,431,368.00+1h 48m"
"5","Zardoz       (1974)+58.0+Fantasy, Action, Thriller, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 45m"
"6","Stan & Ollie       (2018)+70.0+Comedy, Drama+StatusReleasedOriginalLanguageEnglishBudget$10,000,000.00Revenue$24,420,923.00+1h 38m"
"7","The Sisters Brothers       (2018)+68.0+Western, Drama, Adventure+StatusReleasedOriginalLanguageEnglishBudget$38,000,000.00Revenue$13,143,056.00+2h 2m"
"8","The Climb       (2017)+68.0+Comedy, Romance, Adventure+OriginalTitleL'AscensionStatusReleasedOriginalLanguageFrenchBudget$6,600,000.00Revenue-+1h 43m"
"9","Rogue       (2020)+56.0+Action, Adventure+StatusReleasedOriginalLanguageEnglishBudget-Revenue$139,757.00+1h 46m"
"10","Radioactive       (2020)+66.0+Drama, Romance, History+StatusReleasedOriginalLanguageEnglishBudget-Revenue$3,507,755.00+1h 51m"
"11","The Sitter       (2011)+56.0+Comedy+StatusReleasedOriginalLanguageEnglishBudget$25,000,000.00Revenue$34,942,188.00+1h 21m"
"12","Cyrano, My Love       (2018)+76.0+Comedy, History+OriginalTitleEdmondStatusReleasedOriginalLanguageFrenchBudget-Revenue-+1h 53m"
"13","The Man Who Invented Christmas       (2017)+68.0+Drama, History, Comedy, Family+StatusReleasedOriginalLanguageEnglishBudget-Revenue$8,096,007.00+1h 45m"
"14","La Cage aux Folles       (1978)+69.0+Comedy+OriginalTitleLaCageauxfollesStatusReleasedOriginalLanguageFrenchBudget$1,100,000.00Revenue$20,424,259.00+1h 32m"
"15","La Dolce Vita       (1960)+82.0+Comedy, Drama+OriginalTitleLadolcevitaStatusReleasedOriginalLanguageItalianBudget-Revenue$19,647,000.00+2h 56m"
"16","Jenny's Wedding       (2015)+57.0+Comedy, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 34m"
"17","Amityville: The Awakening       (2017)+54.0+Thriller, Horror+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 27m"
"18","Serpico       (1973)+76.0+Crime, History+StatusReleasedOriginalLanguageEnglishBudget$3,000,000.00Revenue$29,800,000.00+2h 10m"
"19","Slaughterhouse Rulez       (2018)+56.0+Action, Comedy, Fantasy, Horror+StatusReleasedOriginalLanguageEnglishBudget-Revenue$730,762.00+1h 44m"
"20","Destroyer       (2018)+59.0+Thriller, Crime, Drama, Action+StatusReleasedOriginalLanguageEnglishBudget$9,000,000.00Revenue-+2h 1m"
"21","VeinteaÃ±era, Divorciada y FantÃ¡stica       (2020)+81.0+Comedy+StatusReleasedOriginalLanguageSpanish;CastilianBudget-Revenue-+1h 33m"
"22","Gabriel's Inferno       (2020)+85.0+Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+2h 2m"
"23","Kursk       (2018)+67.0+Drama, History, Thriller, Action+StatusReleasedOriginalLanguageEnglishBudget$20,000,000.00Revenue-+1h 58m"
"24","Wayne's World       (1992)+67.0+Comedy, Music+StatusReleasedOriginalLanguageEnglishBudget$20,000,000.00Revenue$183,097,323.00+1h 35m"
"25","Charade       (1963)+77.0+Comedy, Mystery, Romance+StatusReleasedOriginalLanguageEnglishBudget$4,000,000.00Revenue$13,475,000.00+1h 53m"
"26","Rattlesnake       (2019)+52.0+Thriller, Drama, Mystery, Horror+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 25m"
"27","Barefoot       (2014)+65.0+Comedy, Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget$6,000,000.00Revenue$15,071.00+1h 30m"
"28","The Replacement Killers       (1998)+62.0+Action, Drama, Crime, Thriller, Mystery+StatusReleasedOriginalLanguageEnglishBudget$30,000,000.00Revenue$19,204,929.00+1h 27m"
"29","Six Days Seven Nights       (1998)+60.0+Adventure, Action, Comedy, Romance+StatusReleasedOriginalLanguageEnglishBudget$70,000,000.00Revenue$164,839,294.00+1h 38m"
"30","The War of the Roses       (1989)+69.0+Comedy, Drama+StatusReleasedOriginalLanguageEnglishBudget$26,000,000.00Revenue$160,188,546.00+1h 56m"
"31","Ruby Sparks       (2012)+71.0+Comedy, Romance, Fantasy, Drama+StatusReleasedOriginalLanguageEnglishBudget$8,000,000.00Revenue$9,128,263.00+1h 44m"
"32","Swiped       (2018)+45.0+Comedy, Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 33m"
