"","x"
"1","In the Tall Grass       (2019)+55.0+Horror, Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 42m"
"2","Hotel Artemis       (2018)+60.0+Thriller, Science Fiction, Action+StatusReleasedOriginalLanguageEnglishBudget$15,000,000.00Revenue$12,371,132.00+1h 34m"
"3","Climax       (2018)+71.0+Horror, Music+StatusReleasedOriginalLanguageFrenchBudget$2,940,457.00Revenue-+1h 37m"
"4","The Rhythm Section       (2020)+56.0+Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$50,000,000.00Revenue-+1h 49m"
"5","Lost Girls       (2020)+61.0+Drama, Mystery, Thriller, History+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 35m"
"6","Spring Breakers       (2013)+52.0+Drama, Crime+StatusReleasedOriginalLanguageEnglishBudget$5,000,000.00Revenue$31,724,284.00+1h 34m"
"7","Early Man       (2018)+62.0+Family, Comedy, Animation, Adventure+StatusReleasedOriginalLanguageEnglishBudget$50,000,000.00Revenue$53,431,158.00+1h 29m"
"8","Holidate       (2020)+71.0+Comedy, Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 44m"
"9","L.A. Confidential       (1997)+78.0+Crime, Drama, Mystery, Thriller+StatusReleasedOriginalLanguageEnglishBudget$35,000,000.00Revenue$126,216,940.00+2h 18m"
"10","The Marine       (2006)+60.0+Action+StatusReleasedOriginalLanguageEnglishBudget$20,000,000.00Revenue$22,165,608.00+1h 32m"
"11","Jackie Brown       (1997)+73.0+Crime, Thriller, Drama+StatusReleasedOriginalLanguageEnglishBudget$12,000,000.00Revenue$39,673,162.00+2h 34m"
"12","Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan       (2006)+67.0+Comedy+StatusReleasedOriginalLanguageEnglishBudget$18,000,000.00Revenue$262,552,893.00+1h 24m"
"13","Dark Waters       (2019)+75.0+Drama, Thriller, History+StatusReleasedOriginalLanguageEnglishBudget-Revenue$13,601,384.00+2h 7m"
"14","A Private War       (2018)+68.0+War, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 46m"
"15","Secret Obsession       (2019)+55.0+Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 37m"
"16","Mamma Mia! Here We Go Again       (2018)+71.0+Comedy, Romance+StatusReleasedOriginalLanguageEnglishBudget$75,000,000.00Revenue$395,044,706.00+1h 53m"
"17","Days of Being Wild       (1990)+73.0+Crime, Drama, Romance+OriginalTitle阿飛正傳StatusReleasedOriginalLanguageCantoneseBudget-Revenue$141,864.00+1h 34m"
"18","Tarzan & Jane       (2002)+60.0+Animation, Family+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 15m"
"19","Destination Wedding       (2018)+57.0+Romance, Comedy, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 30m"
"20","Me and Earl and the Dying Girl       (2015)+76.0+Comedy, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 45m"
"21","Cats       (2019)+42.0+Fantasy, Comedy, Drama+StatusReleasedOriginalLanguageEnglishBudget$95,000,000.00Revenue$73,515,024.00+1h 50m"
"22","The Hate U Give       (2018)+82.0+Crime, Drama+StatusReleasedOriginalLanguageEnglishBudget$23,000,000.00Revenue$34,934,009.00+2h 13m"
"23","Das Boot       (1981)+81.0+Drama, History, War+StatusReleasedOriginalLanguageGermanBudget$14,000,000.00Revenue$85,000,000.00+2h 30m"
