"","x"
"1","Cujo       (1983)+61.0+Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget$5,000,000.00Revenue$21,200,000.00+1h 33m"
"2","Believe Me: The Abduction of Lisa McVey       (2018)+82.0+Drama, TV Movie+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 38m"
"3","Champions       (2018)+76.0+Drama, Comedy+OriginalTitleCampeonesStatusReleasedOriginalLanguageSpanish;CastilianBudget$4,920,975.00Revenue$20,121,318.00+2h 4m"
"4","Charlie's Angels       (2000)+58.0+Action, Adventure, Comedy, Crime, Thriller+StatusReleasedOriginalLanguageEnglishBudget$92,000,000.00Revenue$264,105,545.00+1h 38m"
"5","True Romance       (1993)+75.0+Action, Thriller, Crime, Romance+StatusReleasedOriginalLanguageEnglishBudget$12,500,000.00Revenue$12,600,000.00+2h"
"6","The Shallows       (2016)+64.0+Horror, Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget$17,000,000.00Revenue$119,100,758.00+1h 26m"
"7","In the Heights       (2021)+73.0+Drama, Music, Romance+StatusReleasedOriginalLanguageEnglishBudget$55,000,000.00Revenue$43,000,000.00+2h 23m"
"8","The Emperor of Paris       (2018)+64.0+Drama, Crime, Thriller+OriginalTitleL'EmpereurdeParisStatusReleasedOriginalLanguageFrenchBudget-Revenue-+2h 1m"
"9","Are We There Yet?       (2005)+56.0+Family, Adventure, Comedy, Romance+StatusReleasedOriginalLanguageEnglishBudget$32,000,000.00Revenue$97,918,663.00+1h 35m"
"10","Sleepers       (1996)+76.0+Crime, Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget$44,000,000.00Revenue$165,615,285.00+2h 27m"
"11","American Assassin       (2017)+63.0+Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$33,000,000.00Revenue$67,200,000.00+1h 52m"
"12","DÃ©jÃ  Vu       (2006)+68.0+Action, Thriller, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$75,000,000.00Revenue$180,557,550.00+2h 6m"
"13","Memories of Murder       (2003)+81.0+Crime, Drama, Thriller+OriginalTitle살인의추억StatusReleasedOriginalLanguageKoreanBudget$2,800,000.00Revenue$26,000,000.00+2h 11m"
"14","Belfast       (2021)+72.0+Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue$30,000,000.00+1h 38m"
"15","Stitch! The Movie       (2003)+65.0+Comedy, Adventure, Family, Animation+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h"
"16","The King of Staten Island       (2020)+71.0+Comedy, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+2h 17m"
"17","Transformers       (2007)+67.0+Adventure, Science Fiction, Action+StatusReleasedOriginalLanguageEnglishBudget$150,000,000.00Revenue$709,709,780.00+2h 23m"
"18","Tangled: Before Ever After       (2017)+68.0+Adventure, Animation, Comedy, Family, Fantasy, TV Movie+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+55m"
"19","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb       (1964)+81.0+Drama, Comedy, War+StatusReleasedOriginalLanguageEnglishBudget$1,800,000.00Revenue$9,523,464.00+1h 35m"
"20","Resident Evil: Degeneration       (2008)+67.0+Animation, Horror, Action, Science Fiction+OriginalTitleBaiohazâdo:DijenerêshonStatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 37m"
"21","Arthur and the Revenge of Maltazard       (2009)+57.0+Adventure, Fantasy, Animation, Family+OriginalTitleArthuretlavengeancedeMaltazardStatusReleasedOriginalLanguageFrenchBudget$87,000,000.00Revenue-+1h 33m"
"22","Kronk's New Groove       (2005)+64.0+Animation, Comedy, Family+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 15m"
"23","Deliver Us from Evil       (2014)+62.0+Thriller, Crime, Horror+StatusReleasedOriginalLanguageEnglishBudget$30,000,000.00Revenue$87,937,815.00+1h 58m"
"24","Johnny English Strikes Again       (2018)+62.0+Action, Adventure, Comedy+StatusReleasedOriginalLanguageEnglishBudget$25,000,000.00Revenue$158,256,993.00+1h 29m"
"25","Unfriended: Dark Web       (2018)+63.0+Horror, Thriller, Mystery+StatusReleasedOriginalLanguageEnglishBudget$1,000,000.00Revenue$9,602,624.00+1h 33m"
"26","Cockneys vs Zombies       (2012)+57.0+Comedy, Horror+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 28m"
"27","Drumline       (2002)+69.0+Drama, Romance, Comedy, Music+StatusReleasedOriginalLanguageEnglishBudget$20,000,000.00Revenue$57,588,485.00+1h 58m"
"28","Zombeavers       (2014)+49.0+Horror, Action, Comedy+StatusReleasedOriginalLanguageEnglishBudget-Revenue$14,947.00+1h 25m"
"29","Room       (2015)+81.0+Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget$13,000,000.00Revenue$35,401,758.00+1h 58m"
"30","Brimstone       (2016)+71.0+Western, Mystery, Thriller, Drama+StatusReleasedOriginalLanguageEnglishBudget$13,000,000.00Revenue-+2h 28m"
"31","The Nutcracker and the Four Realms       (2018)+61.0+Fantasy, Adventure, Family+StatusReleasedOriginalLanguageEnglishBudget$120,000,000.00Revenue$59,522,646.00+1h 39m"
"32","A Score to Settle       (2019)+62.0+Action, Thriller, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 43m"
"33","Careful What You Wish For       (2015)+61.0+Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget$8,000,000.00Revenue-+1h 31m"
"34","The Man with the Iron Heart       (2017)+66.0+War, Action, History, Thriller+StatusReleasedOriginalLanguageEnglishBudget$32,679,734.00Revenue$4,412,639.00+2h"
"35","The Man in the Iron Mask       (1998)+66.0+Adventure, Action, Drama+StatusReleasedOriginalLanguageEnglishBudget$35,000,000.00Revenue$182,968,902.00+2h 12m"
"36","Idiocracy       (2006)+63.0+Adventure, Comedy, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$30,000,000.00Revenue$495,303.00+1h 24m"
"37","Captain Fantastic       (2016)+79.0+Adventure, Drama+StatusReleasedOriginalLanguageEnglishBudget$5,000,000.00Revenue$23,123,592.00+1h 58m"
"38","The Mask of Zorro       (1998)+65.0+Action, Adventure+StatusReleasedOriginalLanguageEnglishBudget$95,000,000.00Revenue$250,288,523.00+2h 16m"
"39","Master Z: Ip Man Legacy       (2018)+62.0+Action, Crime, Drama+OriginalTitle葉問外傳：張天志StatusReleasedOriginalLanguageCantoneseBudget-Revenue$21,832,649.00+1h 47m"
"40","The Tragedy of Macbeth       (2021)+70.0+Drama, War+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 45m"
"41","The Rundown       (2003)+64.0+Adventure, Action, Comedy, Thriller+StatusReleasedOriginalLanguageEnglishBudget$85,000,000.00Revenue$80,916,492.00+1h 44m"
"42","Gonjiam: Haunted Asylum       (2018)+73.0+Horror, Mystery+OriginalTitle곤지암StatusReleasedOriginalLanguageKoreanBudget-Revenue$21,041,950.00+1h 34m"
"43","Love Hard       (2021)+71.0+Comedy, Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 45m"
"44","Wonder Woman: Bloodlines       (2019)+71.0+Science Fiction, Animation, Action, Fantasy+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 23m"
"45","Children of Men       (2006)+76.0+Drama, Action, Thriller, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$76,000,000.00Revenue$70,595,464.00+1h 49m"
"46","Portrait of a Lady on Fire       (2019)+82.0+Drama, Romance+OriginalTitlePortraitdelajeunefilleenfeuStatusReleasedOriginalLanguageFrenchBudget$5,740,000.00Revenue$9,923,127.00+2h"
"47","Diego Maradona       (2019)+75.0+Documentary+StatusReleasedOriginalLanguageSpanish;CastilianBudget-Revenue-+2h 10m"
"48","Only Yesterday       (1991)+73.0+Animation, Drama, Romance+OriginalTitleおもひでぽろぽろStatusReleasedOriginalLanguageJapaneseBudget-Revenue$473,110.00+1h 59m"
