"","x"
"1","Mechanic: Resurrection       (2016)+59.0+Action, Crime, Thriller+StatusReleasedOriginalLanguageEnglishBudget$40,000,000.00Revenue$125,729,635.00+1h 38m"
"2","Fight Club       (1999)+84.0+Drama+StatusReleasedOriginalLanguageEnglishBudget$63,000,000.00Revenue$100,853,753.00+2h 19m"
"3","Parallel Mothers       (2021)+69.0+Drama+OriginalTitleMadresparalelasStatusReleasedOriginalLanguageSpanish;CastilianBudget-Revenue-+2h 3m"
"4","The Equalizer 2       (2018)+66.0+Action, Thriller, Crime+StatusReleasedOriginalLanguageEnglishBudget$62,000,000.00Revenue$190,400,157.00+2h 1m"
"5","Life in a Year       (2020)+83.0+Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 47m"
"6","The French Dispatch       (2021)+72.0+Comedy, Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget$25,000,000.00Revenue$46,000,000.00+1h 48m"
"7","Guardians of the Galaxy       (2014)+79.0+Action, Science Fiction, Adventure+StatusReleasedOriginalLanguageEnglishBudget$170,000,000.00Revenue$772,776,600.00+2h 1m"
"8","Alita: Battle Angel       (2019)+72.0+Action, Science Fiction, Adventure+StatusReleasedOriginalLanguageEnglishBudget$170,000,000.00Revenue$404,852,543.00+2h 2m"
"9","The Tender Bar       (2021)+67.0+Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 44m"
"10","The Ice Road       (2021)+70.0+Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue$2,147,110.00+1h 48m"
"11","The Martian       (2015)+77.0+Drama, Adventure, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$108,000,000.00Revenue$630,161,890.00+2h 21m"
"12","The Hills Have Eyes       (2006)+64.0+Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget$15,000,000.00Revenue$69,623,713.00+1h 47m"
"13","Hypnotic       (2021)+61.0+Thriller, Drama, Horror+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 29m"
"14","Child's Play 3       (1991)+59.0+Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget$13,000,000.00Revenue$20,560,255.00+1h 30m"
"15","Over the Moon       (2020)+73.0+Animation, Adventure, Family, Fantasy+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 40m"
"16","Once Upon a Timeâ¦ in Hollywood       (2019)+74.0+Comedy, Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget$95,000,000.00Revenue$374,251,247.00+2h 42m"
"17","The SpongeBob Movie: Sponge Out of Water       (2015)+61.0+Family, Adventure, Comedy, Fantasy, Animation+StatusReleasedOriginalLanguageEnglishBudget$74,000,000.00Revenue$311,594,032.00+1h 33m"
